signal,kind,pillar,transport,emitted_by,description,use,verified_live,proven_live,unit_test,drawn_on_dashboard,GAP
pg_stat_database_xact_commit,dep-metric,metrics,poll,postgres-exporter,PostgreSQL server + per-database statistics.,"DEPENDENCY, not ours: a panel queries it, so losing it breaks that panel. We do not control its name -- an exporter upgrade can rename it and only the panel going blank would show it.",check_dependencies,YES,,"Postgres transactions/s;The system -- every component, live",
pg_stat_database_xact_rollback,dep-metric,metrics,poll,postgres-exporter,PostgreSQL server + per-database statistics.,"DEPENDENCY, not ours: a panel queries it, so losing it breaks that panel. We do not control its name -- an exporter upgrade can rename it and only the panel going blank would show it.",check_dependencies,YES,,Postgres transactions/s,
pg_up,dep-metric,metrics,poll,postgres-exporter,PostgreSQL server + per-database statistics.,"DEPENDENCY, not ours: a panel queries it, so losing it breaks that panel. We do not control its name -- an exporter upgrade can rename it and only the panel going blank would show it.",check_dependencies,YES,,"The system -- every component, live",
process_cpu_seconds_total,dep-metric,metrics,poll,JVM / Node runtime,Process CPU and resident memory (both fleets emit it).,"DEPENDENCY, not ours: a panel queries it, so losing it breaks that panel. We do not control its name -- an exporter upgrade can rename it and only the panel going blank would show it.",check_dependencies,YES,,"BFF event-loop lag (s) + CPU (cores) by replica;The system -- every component, live",
process_cpu_usage,dep-metric,metrics,poll,JVM / Node runtime,Process CPU and resident memory (both fleets emit it).,"DEPENDENCY, not ours: a panel queries it, so losing it breaks that panel. We do not control its name -- an exporter upgrade can rename it and only the panel going blank would show it.",check_dependencies,YES,,"CPU usage by replica (process);Cores in use -- TOTAL across all services;Cores in use by replica;The system -- every component, live",
process_resident_memory_bytes,dep-metric,metrics,poll,JVM / Node runtime,Process CPU and resident memory (both fleets emit it).,"DEPENDENCY, not ours: a panel queries it, so losing it breaks that panel. We do not control its name -- an exporter upgrade can rename it and only the panel going blank would show it.",check_dependencies,YES,,"BFF memory by replica (resident + heap used);The system -- every component, live",
process_uptime_seconds,dep-metric,metrics,poll,JVM / Node runtime,Process CPU and resident memory (both fleets emit it).,"DEPENDENCY, not ours: a panel queries it, so losing it breaks that panel. We do not control its name -- an exporter upgrade can rename it and only the panel going blank would show it.",check_dependencies,YES,,"The system -- every component, live",
reactor_netty_http_server_data_received_bytes_sum,dep-metric,metrics,poll,reactor-netty (Boot binder),"The gateway's edge bytes in/out (it is reactive, not Tomcat).","DEPENDENCY, not ours: a panel queries it, so losing it breaks that panel. We do not control its name -- an exporter upgrade can rename it and only the panel going blank would show it.",check_dependencies,YES,,Gateway EDGE bytes (B/s) -- client-facing,
reactor_netty_http_server_data_sent_bytes_sum,dep-metric,metrics,poll,reactor-netty (Boot binder),"The gateway's edge bytes in/out (it is reactive, not Tomcat).","DEPENDENCY, not ours: a panel queries it, so losing it breaks that panel. We do not control its name -- an exporter upgrade can rename it and only the panel going blank would show it.",check_dependencies,YES,,"Gateway EDGE bytes (B/s) -- client-facing;The system -- every component, live",
resilience4j_circuitbreaker_calls_seconds_count,dep-metric,metrics,poll,resilience4j,"Circuit-breaker state, failure rate and rejected calls.","DEPENDENCY, not ours: a panel queries it, so losing it breaks that panel. We do not control its name -- an exporter upgrade can rename it and only the panel going blank would show it.",check_dependencies,YES,,Calls through the breaker (by outcome),
resilience4j_circuitbreaker_failure_rate,dep-metric,metrics,poll,resilience4j,"Circuit-breaker state, failure rate and rejected calls.","DEPENDENCY, not ours: a panel queries it, so losing it breaks that panel. We do not control its name -- an exporter upgrade can rename it and only the panel going blank would show it.",check_dependencies,YES,,Failure rate (%) -- the threshold that opens on a backend that is actually failing,
resilience4j_circuitbreaker_not_permitted_calls_total,dep-metric,metrics,poll,resilience4j,"Circuit-breaker state, failure rate and rejected calls.","DEPENDENCY, not ours: a panel queries it, so losing it breaks that panel. We do not control its name -- an exporter upgrade can rename it and only the panel going blank would show it.",check_dependencies,YES,,Calls REFUSED by the breaker (the 503s the breaker itself caused),
resilience4j_circuitbreaker_slow_call_rate,dep-metric,metrics,poll,resilience4j,"Circuit-breaker state, failure rate and rejected calls.","DEPENDENCY, not ours: a panel queries it, so losing it breaks that panel. We do not control its name -- an exporter upgrade can rename it and only the panel going blank would show it.",check_dependencies,YES,,Slow-call rate (%) -- the threshold that OPENS the breaker on a healthy backend,
resilience4j_circuitbreaker_state,dep-metric,metrics,poll,resilience4j,"Circuit-breaker state, failure rate and rejected calls.","DEPENDENCY, not ours: a panel queries it, so losing it breaks that panel. We do not control its name -- an exporter upgrade can rename it and only the panel going blank would show it.",check_dependencies,YES,,"Breaker state -- OPEN / half-open (1 = yes);The system -- every component, live",
resilience4j_timelimiter_calls_total,dep-metric,metrics,poll,resilience4j,"Circuit-breaker state, failure rate and rejected calls.","DEPENDENCY, not ours: a panel queries it, so losing it breaks that panel. We do not control its name -- an exporter upgrade can rename it and only the panel going blank would show it.",check_dependencies,YES,,Per-route deadline -- TimeLimiter outcomes,
system_cpu_count,dep-metric,metrics,poll,JVM (Boot binder),Host CPU count and usage as the JVM sees it.,"DEPENDENCY, not ours: a panel queries it, so losing it breaks that panel. We do not control its name -- an exporter upgrade can rename it and only the panel going blank would show it.",check_dependencies,YES,,Cores in use -- TOTAL across all services;Cores in use by replica;Effective CPUs the JVM sized itself for,
system_cpu_usage,dep-metric,metrics,poll,JVM (Boot binder),Host CPU count and usage as the JVM sees it.,"DEPENDENCY, not ours: a panel queries it, so losing it breaks that panel. We do not control its name -- an exporter upgrade can rename it and only the panel going blank would show it.",check_dependencies,YES,,Host CPU (system);Host CPU -- the whole machine,
tomcat_global_received_bytes_total,dep-metric,metrics,poll,Tomcat (Boot binder),Servlet-tier bytes in/out.,"DEPENDENCY, not ours: a panel queries it, so losing it breaks that panel. We do not control its name -- an exporter upgrade can rename it and only the panel going blank would show it.",check_dependencies,YES,,Service HTTP bytes IN (B/s),
tomcat_global_sent_bytes_total,dep-metric,metrics,poll,Tomcat (Boot binder),Servlet-tier bytes in/out.,"DEPENDENCY, not ours: a panel queries it, so losing it breaks that panel. We do not control its name -- an exporter upgrade can rename it and only the panel going blank would show it.",check_dependencies,YES,,Service HTTP bytes OUT (B/s),
traces_service_graph_request_total,dep-metric,metrics,poll,otel-collector (servicegraph),The service graph the Collector DERIVES from trace spans.,"DEPENDENCY, not ours: a panel queries it, so losing it breaks that panel. We do not control its name -- an exporter upgrade can rename it and only the panel going blank would show it.",check_dependencies,YES,,Edge throughput -- caller -> callee (req/s),
